Dataset,Model,accuracy,precision,recall,f1_score,roc_auc
CICIoT2023,LogisticRegression,0.9999166666666667,1.0,0.9999140179415895,0.9999570071224867,0.9999935390698519
CICIoT2023,RandomForestClassifier,0.9999722222222223,0.9999713401352746,1.0,0.9999856698622874,0.999999948312559
CICDDoS2019,LogisticRegression,0.9942210985469396,0.9999720365761584,0.9942447243306364,0.9971001561454383,0.9992118843983053
CICDDoS2019,RandomForestClassifier,0.9999444336398744,0.9999721967358968,0.9999721967358968,0.9999721967358968,0.9999946532184417
TONIoT,LogisticRegression,0.9519722222222222,0.9538518171474466,0.9878695456278377,0.9705626968587725,0.9326772027002003
TONIoT,RandomForestClassifier,0.9986666666666667,0.9992720213540403,0.9990642220912903,0.9991681109185442,0.9999859925973119
